room,hostname,ip-address,monitor-name,username,password,env,core_usage
214,NL214-Lin11170,136.244.224.234,rat,,,,3
214,NL214-Lin11171,136.244.224.165,hill_giant,,,,3
214,NL214-Lin11179,136.244.224.132,frost_giant,,,,3
214,NL214-Lin11178,136.244.224.167,fire_giant,,,,3
214,NL214-Lin11180,136.244.224.158,hobgoblin,,,,3
214,NL214-Lin11174,136.244.224.227,zombie,,,,3
214,NL214-Lin11176,136.244.224.164,vampire,,,,3
214,NL214-Lin11175,136.244.224.250,orc,,,,3
214,NL214-Lin11166,136.244.224.39,goblin,,,,3
214,NL214-Lin11163,136.244.224.242,beholder,,,,3
214,NL214-Lin11172,136.244.224.241,kobold,,,,3
214,NL214-Lin11182,136.244.224.29,ghast,,,,3
214,NL214-Lin11173,136.244.224.86,slime,,,,3
